job_title,company,location,description,required_skills,experience_years,education,salary_range
AI Prompt Search Rater - Arabic,RWS Group,"Riyadh, Riyadh, Saudi Arabia","We are looking for
 **AI** 
**Prompt Search Raters** 
 to support the improvement of AI\-generated content in
 **Arabic.**
**Job Type:** 
 Freelance
   

  

**Location:** 
**Remote**
***Work Schedule:***
 Part\-time \- 10\+ hours per week. Flexible \- work whenever you want.
   

  

**Start Date:** 
 Immediately
   

  

**Rate:** 
 15 USD/hour
   

  

**Help Shape the Future of AI**
 Are you a student, recent graduate, stay\-at\-home parent, gig worker, or professional seeking flexible remote work? Are you interested in shaping the development and safety of today’s AI models?
   

  

**What You’ll Do**
 The role involves performing diverse data\-related tasks, including:
   

  

  

* Review prompts and AI\-generated responses
* Annotate and label responses and their reasoning steps
* Compare outputs and assess quality and relevance
* Follow clear guidelines to ensure consistency
* Apply cultural understanding where needed


**What We’re Looking For**
* Native\-level fluency in Arabic
* English Proficiency: Fluent or advanced proficiency in English (levels B2\-C2\)
* AI \& Data Capabilities (Preferred): Experience with data annotation, evaluation, or similar tasks. Familiarity with reviewing AI responses or following structured guidelines is a plus


**What We Offer**
* 100% remote work
* Flexible schedule
* Opportunity to earn extra income
* Timely payments
* The job is ideal for students, part\-timers, or stay\-at\-home parents


**Vendor Type**
**When applying, please select the option that best describes your working status.**
**Are you a Freelancer or Private Individual?**
 A Freelancer is someone who has a business license and may have a VAT number or EIN for tax purposes. A VAT (Value Added Tax) number is a unique identifier assigned to registered businesses in many countries; an EIN (Employer Identification Number) is a similar identifier used in the US. A Private Individual does
 *not* 
 have a business license. If you aren’t sure, you are probably a private individual.
   

  

**RWS embraces DEI** 
 and promotes equal opportunity, we are an Equal Opportunity Employer and prohibit discrimination and harassment of any kind. RWS is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at RWS are based on business needs, job requirements and individual qualifications, without regard to race, religion, nationality, ethnicity, sex, age, disability, or sexual orientation. RWS will not tolerate discrimination based on any of these characteristics.","ai, arabic, english",0,,
"Data Platform, Saudi Arabia, Data CSE, Horizon",IBM,"Riyadh, Riyadh, Saudi Arabia","**Introduction**
 At IBM Global Sales, we bring together innovation, collaboration, and expertise to help clients solve their most complex business challenges. Working across industries and geographies, you’ll partner with colleagues, clients, and partners to co\-create solutions that drive digital transformation and lasting impact.Success in Global Sales is built on curiosity, empathy, and collaboration. You’ll connect technical understanding with strong people skills, building trusted relationships and shaping solutions that improve business and society. With world\-class onboarding, continuous learning, and a supportive culture, IBM offers the tools and opportunities to grow your career. Join us and be part of a global team that’s passionate about driving innovation and making a difference.
   

  

**Your Role And Responsibilities**
 As a Customer Success Engineer, you will design viable client data security solutions by leveraging current data security product capabilities and remove technical inhibitors to sales opportunities. You will work with clients to drive adoption and expansion of IBM products to accelerate client value. Your primary responsibilities will include:
   

  

* Deliver Technical Proof Points: Create and deliver technical proof points through technical accelerators, such as demonstrations, POTs, POCs, Workshops, Solution Design, and MVPs, to demonstrate the value of IBM products to clients.
* Drive Customer Value: Activate entitlements by finding sponsors, conducting use\-case workshops, and establishing measurable business outcomes with client sponsors and stakeholders.
* Develop Success Plans: Create a success plan that describes deployment roadmap(s), milestones, and outcomes with client sponsors and stakeholders to ensure successful adoption and expansion of IBM products.
* Understand Client Challenges: Deeply understand clients' main challenges and become a trusted guide for their modernization and adoption of IBM's technology portfolio.


**Preferred Education**
 Master's Degree
   

  

**Required Technical And Professional Expertise**
 Ideally, in\-depth knowledge of the IBM Data Security offerings (Guardium).
   

  

 Understanding of data privacy regulations: Familiarity with GDPR, CCPA, HIPAA, PCI\-DSS, and other relevant regulations impacting data storage and access.
   

  

* Scripting and programming experience (preferably Java, JavaScript, Python, SQL, Ansible, Powershell, bash/sh) is a plus
* System administration skills (Operating systems, Virtualization platforms, Docker/Kubernetes, OSes, DevOps).
* Technical Solution Design: Exposure to designing viable client solutions by leveraging current product capabilities, removing technical inhibitors to sales opportunities, and creating technical proof points.
* Product Demonstration: Experience working with technical accelerators, such as demonstrations, POTs, POCs, Workshops, Solution Design, and MVPs, to demonstrate the value of products to clients.
* Client Engagement: Exposure to working with clients to drive adoption and expansion of products, including activating entitlements, conducting use\-case workshops, and establishing measurable business outcomes.
* Technical Portfolio Knowledge: Experience working with a technology portfolio, including understanding client challenges and identifying opportunities for modernization and adoption.
* Solution Development: Exposure to creating success plans, including deployment roadmaps, milestones, and outcomes, to ensure successful adoption and expansion of products.


**Preferred Technical And Professional Experience**
* Product Acceleration Knowledge: Exposure to designing and delivering technical accelerators, such as demonstrations, POTs, POCs, Workshops, Solution Design, and MVPs, to demonstrate the value of products to clients.
* Technical Solution Optimization: Experience working with clients to optimize technical solutions, including activating entitlements, conducting use\-case workshops, and establishing measurable business outcomes.
* Technology Portfolio Familiarity: Exposure to working with a technology portfolio, including understanding client challenges and identifying opportunities for modernization and adoption.","bash, docker, java, javascript, kubernetes, python, sql",0,,
Data Scientist,MOZN,"Riyadh, Riyadh, Saudi Arabia","**About Mozn**
 MOZN is a leading Enterprise AI company enabling organizations to make informed decisions in two critical domains: Financial Crime Prevention and Enterprise Knowledge Intelligence.
   

  

 We’re a diverse, collaborative team of innovators united by a shared purpose: to build AI that delivers tangible business value, builds trust, and empowers people and organizations with augmented intelligence. Our culture is built on the relentless pursuit of excellence and meaningful impact.
   

  

 If you’re passionate about working alongside exceptional talent on world\-class AI, and you want the autonomy and runway to do the best work of your career, join us in shaping the future of intelligent enterprises.
   

  

**About The Role**
 We are searching for a strategic and inquisitive Data Scientist. As a member of Mozn's Data Science team, you will work with cross\-disciplinary teams to identify the problems to be solved, specify the problems in mathematical and statistical terms, scope out the project/product in collaboration with your team and external stakeholders, and then go about answering the identified questions. You find insights that spur teams and stakeholders to improve their business/product and drive value for internal and external stakeholders.
   

  

****What you’ll d****
****o****
* Work with cross\-functional teammates from engineering, products, business, and marketing to deliver data\-powered solutions.
* Communicate highly technical results and methods clearly to a wide variety of external clients.
* Analyze and extract insights from multiple and complex datasets through regression analysis, hypothesis testing, and other machine learning techniques.
* Develop and apply new machine learning techniques to ensure modern yet optimal approaches are applied to Mozn's solutions.
* Develop data pipelines and ingestion engines for Natural Language Understanding and/or Risk Management; as well as contribute to current engines at Mozn.
* Engage with stakeholders to identify and define the scope of challenges and propose data\-powered solutions.
* Plan and execute solutions' development from data gathering to intelligent decision making.
* Staying informed with new frameworks and technological advances to increase Mozn's efficiency and productivity.


**Qualifications**
* B.S. or M.S. in Computer Science, Statistics, Mathematics or similar quantitative fields.
* 3\-5 years of Relevant experience as a data scientist, or similar fields that require developing ML/AI models. Over 2 years for B.S. degree and over 1 year for M.S.
* Programming experience over two years in object oriented programming, including data manipulation using Python or other languages.
* Good understanding of statistics and probability, such as Bayesian methods and conditional probability.
* Applied experience in machine learning, such as conducting model experiments.
* Experience in version control systems, such as Git, GitHub.
* Programming experience in SQL or NoSQL is preferred.
* Familiarity with big data technologies, such as Spark.
* Experience in deep learning frameworks, such as PyTorch.
* Expertise in Natural Language Understanding and/or Risk Management applications.
* Familiarity with containerization frameworks, such as Docker.
* Research experience in optimization and natural language processing (NLP).


**Benefits**
* You will be at the forefront of an exciting time for the Middle East, joining a high\-growth rocket\-ship in an exciting space.
* You will be given a lot of responsibility and trust. We believe that the best results come when the people responsible for a function are given the freedom to do what they think is best.
* The fundamentals will be taken care of: competitive compensation, top\-tier health insurance, and an enabling culture so that you can focus on what you do best
* You will enjoy a fun and dynamic workplace working alongside some of the greatest minds in AI.
* We believe strength lies in difference, embracing all for who they are and empowered to be the best version of themselves.","ai, communication, data science, deep learning, docker, git, go, machine learning, mathematics, nlp, nosql, python, pytorch, spark, sql, statistics",5,,
Senior Data Scientist - Riyadh,MOZN,"Riyadh, Riyadh, Saudi Arabia","**About Mozn**
 MOZN is a leading Enterprise AI company enabling organizations to make informed decisions in two critical domains: Financial Crime Prevention and Enterprise Knowledge Intelligence.
   

  

 We’re a diverse, collaborative team of innovators united by a shared purpose: to build AI that delivers tangible business value, builds trust, and empowers people and organizations with augmented intelligence. Our culture is built on the relentless pursuit of excellence and meaningful impact.
   

  

 If you’re passionate about working alongside exceptional talent on world\-class AI, and you want the autonomy and runway to do the best work of your career, join us in shaping the future of intelligent enterprises.
   

  

**About The Role**
 We are searching for a strategic and inquisitive Data Scientist. As a member of Mozn’s Data Science team, you will work with cross\-disciplinary teams to identify the problems to be solved, specify the problems in mathematical and statistical terms, scope out the project/product in collaboration with your team and external stakeholders, and then go about answering the identified questions. You find insights that spur teams and stakeholders to improve their business/product and drive value for internal and external stakeholders.
   

  

**What You'll Do**
* Work with cross\-functional teammates from engineering, products, business, and marketing to deliver data\-powered solutions.
* Communicate highly technical results and methods clearly to a wide variety of external clients.
* Analyze and extract insights from multiple and complex datasets through regression analysis, hypothesis testing, and other machine learning techniques.
* Develop and apply new machine learning techniques to ensure modern yet optimal approaches are applied to Mozn’s solutions.
* Develop data pipelines and ingestion engines for Natural Language Understanding and/or Risk Management; as well as contribute to current engines at Mozn.
* Engage with stakeholders to identify and define the scope of challenges and propose data\-powered solutions.
* Staying informed with new frameworks and technological advances to increase Mozn’s efficiency and productivity.
* Coordinate with internal teams to set up and execute solution development strategies.
* Overseeing a large technical area of work, defining project priorities, and technical solutions.


**Qualifications**
* B.S. or M.S. in Computer Science, Statistics, Mathematics, or similar quantitative fields.
* Relevant experience as a data scientist, or in similar fields that require developing ML/AI models. Over 3 years for B.S. degree and over 2 years for M.S.
* Programming experience over two years in software development, including object\-oriented programming, and data manipulation using Python or other languages.
* Good understanding of statistics and probability, such as Hidden Markov Models, Probabilistic Graphical models, or Bayesian inference.
* Applied experience in machine learning, such as diagnosing models and modifying loss functions.
* Experience in deep learning frameworks, such as PyTorch.
* Expertise in Natural Language Understanding and/or Probabilistic Machine Learning applications.


**Benefits**
****Why Mozn?****
* You will be at the forefront of an exciting time for the Middle East, joining a high\-growth rocket\-ship in an exciting space.
* You will be given a lot of responsibility and trust. We believe that the best results come when the people responsible for a function are given the freedom to do what they think is best.
* The fundamentals will be taken care of: competitive compensation, top\-tier health insurance, and an enabling culture so that you can focus on what you do best
* You will enjoy a fun and dynamic workplace working alongside some of the greatest minds in AI.
* We believe strength lies in difference, embracing all for who they are and empowered to be the best version of themselves.","ai, communication, data science, deep learning, go, machine learning, mathematics, python, pytorch, statistics",3,,
Junior Data Engineer,HudHud Maps,"Riyadh, Riyadh, Saudi Arabia","**Position: Junior Data Engineer**
**Location:** 
 Riyadh, Saudi Arabia (Hybrid)
   

  

**Experience:** 
 1–2 years
   

  

**About Hudhud Maps**
 We are building the next\-generation local maps for Saudi and the Middle East, leveraging data \& AI and we currently have different projects to build the most valuable point of interest and street network database in the region, leveraging hundreds of terabytes of captured street view data and satellite images for hundreds of thousands of KMs of roads and other datasets captured from third\-party and governmental partners.
   

  

**Role Overview**
 As a Junior Data Engineer, you will support the design, development, and maintenance of scalable data pipelines and systems. You’ll work closely with senior engineers and data scientists to ensure reliable data flow across our platforms, contributing to Hudhud Maps’ mission of delivering high\-quality geospatial insights.
   

  

**Key Responsibilities**
* Develop, monitor, and optimize ETL workflows using Apache Airflow.
* Build and maintain data pipelines leveraging Python and Apache Spark.
* Manage and query structured data in PostgreSQL databases.
* Support the integration and organization of large datasets in Data Lakes.
* Collaborate on cloud\-based data solutions (AWS, GCP, or Azure).
* Ensure data quality, reliability, and security across systems.
* Document processes and contribute to continuous improvement initiatives.


**Requirements**
* Bachelor’s degree in computer science, Engineering, or related field.
* 1–2 years of experience in data engineering or related roles.
* Proficiency in Python for data workflows.
* Hands\-on experience with Airflow, Spark, and Postgres DB.
* Familiarity with Data Lake architectures and cloud platforms.
* Strong problem\-solving skills and eagerness to learn.


**Preferred Qualities**
* Exposure to geospatial or mapping data projects.
* Interest in scalable data systems and emerging technologies.
* Collaborative mindset with good communication skills.


**Why Join Us**
* Opportunity to work on impactful geospatial data projects.
* Hybrid work flexibility in Riyadh.
* Growth\-oriented environment with mentorship from senior engineers.","ai, airflow, aws, azure, communication, data engineering, data science, etl, google cloud, postgresql, python, spark",2,,
Data Engineer - Remote,YO IT Consulting,"Riyadh, Riyadh, Saudi Arabia","**Job Title:** 
 Data Engineer
   

  

**Job Type:** 
 Contractor
   

  

**Location:** 
 Remote
   

  

**Job Summary**
 We are seeking an expert Data Engineer to join our customer’s team and play a pivotal role in developing next\-generation AI agents. In this fully remote role, you will leverage your strong data engineering, coding, and AI/ML expertise to help train and optimize advanced AI systems. Collaborate with talented professionals in a dynamic environment where your technical skills and innovative mindset will directly impact the project's success.
   

  

**Key Responsibilities**
* Design, implement, and manage data pipelines to support complex AI agent training initiatives.
* Collaborate closely with AI/ML engineers to ensure efficient data flows and high\-quality training datasets.
* Develop and maintain scalable ETL processes using Python, MySQL, and PostgreSQL.
* Utilize JAVA and JavaScript to integrate diverse data sources and enable seamless data exchange.
* Contribute to the optimization of AI models through effective data engineering practices.
* Document data processes comprehensively and communicate technical concepts clearly to both technical and non\-technical stakeholders.
* Troubleshoot and resolve data issues, ensuring data integrity and reliability for AI applications.


**Required Skills And Qualifications**
* Bachelor’s degree in Computer Science, Engineering, or a related field.
* 3\+ years of hands\-on experience as a Data Engineer, with proven expertise in AI/ML projects.
* Advanced proficiency in Python, MySQL, PostgreSQL, JAVA, and JavaScript.
* Strong understanding of AI concepts and experience in training AI agents.
* Exceptional written and verbal communication skills, with a focus on clarity and collaboration.
* Experience implementing robust data pipelines and scalable architecture for machine learning projects.
* Self\-motivated, detail\-oriented, and able to thrive in a fully remote team environment.


**Preferred Qualifications**
* Master’s degree in a related field.
* Direct experience with AI agent frameworks and real\-world deployment projects.
* Previous work in fast\-paced startup or innovation\-driven environments.","ai, communication, data engineering, etl, java, javascript, machine learning, mysql, postgresql, python",0,,
Data Engineer,Master Works,"Riyadh, Riyadh, Saudi Arabia","Master\-Works is seeking a highly skilled Data Engineer to join our team. The ideal candidate will develop, construct, test, and maintain data architectures such as databases and large\-scale processing systems. You will be responsible for building data pipelines, ensuring data integrity, and enabling data accessibility to support our business analytics and decision\-making processes.
   

  

**Responsibilities:**
* Design, build, and maintain efficient and scalable data pipelines and architectures
* Develop ETL processes to collect, clean, and process data from various sources
* Collaborate with data scientists, analysts, and stakeholders to meet data requirements
* Optimize data pipeline performance and troubleshoot data issues as they arise
* Ensure data security and compliance with organizational policies
* Document data engineering processes and workflows


**Requirements**
* Bachelor's degree in Computer Science, Engineering, or related field
* Minimum 3 years of experience in data engineering or related roles
* Proficiency in programming languages such as Python, Java, or Scala
* Experience with SQL and NoSQL databases
* Familiarity with big data tools and platforms like Hadoop, Spark, Kafka, etc
* Strong analytical and problem\-solving skills
* Ability to work collaboratively in a team\-oriented environment","data engineering, data science, etl, hadoop, java, kafka, nosql, python, scala, spark, sql",3,,
Data Scientist,Gathern | جاذر إن,"Riyadh, Riyadh, Saudi Arabia","**Data Scientist:**
 Drive data\-driven decision\-making by developing analytical models, extracting actionable insights, and translating complex datasets into measurable business impact aligned with company strategy.
   

  

**Key Accountabilities:**
* Develop predictive and statistical models to support business objectives
* Perform data cleaning, transformation, and feature engineering
* Translate business problems into analytical frameworks
* Build dashboards and data visualizations for stakeholders
* Conduct exploratory data analysis (EDA) to uncover trends and insights
* Collaborate with Product, Marketing, and Engineering teams
* Monitor model performance and ensure continuous optimization


**Core Behavioral Competencies:**
* Strategic Vision \& Agility \- Proficient
* Growth Mindset \- Proficient
* Scalable Execution \- Proficient
* People Leadership \& Talent Development \- Basic/Proficient
* Governance \& Ethical Conduct \- Proficient
* Customer Centricity \- Proficient
* Innovative Thinking \& Digital Fluency \- Expert
* Stakeholder Management \- Proficient


**Technical Competencies:**
* Data Modeling \& Statistical Analysis \- Proficient
* Machine Learning \& Predictive Modeling \- Proficient
* Data Wrangling \& Feature Engineering \- Proficient
* Data Visualization \& Storytelling \- Proficient
* SQL \& Database Querying \- Proficient
* Python / R for Data Science \- Proficient
* Experimentation \& A/B Testing \- Basic/Proficient
* Model Deployment \& Monitoring \- Basic/Proficient


**Requirements**
**Education** 
 :
   

  

* Bachelor's degree in Data Science, Statistics, Computer Science, Mathematics, or related field


**Experience** 
 :
   

  

* 4\-6 years in data science or advanced analytics roles
* Experience building and deploying machine learning models
* Experience working with large structured and unstructured datasets
* Experience collaborating with cross\-functional teams","a/b testing, data analysis, data science, data visualization, feature engineering, leadership, machine learning, mathematics, model deployment, python, r, sql, statistics",6,,
10x Software Engineer,Lucidya | لوسيديا,"Riyadh, Riyadh, Saudi Arabia","Lucidya is a leading AI\-powered Customer Experience Management (CXM) platform in the MENA region, enabling enterprises to understand, engage, and serve customers across digital channels at scale.
   

  

 As we move toward IPO\-scale, we are rebuilding parts of our platform to achieve:
   

  

* Extreme reliability (SLO\-driven engineering)
* High\-scale distributed processing (billions of data points)
* AI\-native architecture (LLM \+ real\-time intelligence)


 We don't optimize for titles, we optimize for impact! Whether you are junior or senior doesn't matter and what matters is your ability to move faster and think deeper than the average engineer. We operate with extreme ownership. Problems don't belong to teams or tickets where they belong to whoever sees them. The right person for this role doesn't walk past a broken system. If something is failing, you fix it even if it's not ""your job.""
   

  

**What You Will Work On**
**Microservices \& Distributed Architecture**
* Design and operate high\-throughput, event\-driven pipelines across a 100\+ microservice ecosystem handling billions of data points
* Build and scale distributed messaging systems with RabbitMQ, backpressure management, consumer scaling, and queue health
* Develop and maintain API gateway layers with advanced routing (multi\-upstream, traffic splitting, environment isolation)
* Architect SSO and identity federation for enterprise clients, supporting multi\-IdP routing with zero coupling to core services
* Define clean service boundaries across ingestion, processing, and delivery pipelines spanning Ruby and Python


**Performance \& Systems**
* Diagnose and resolve complex production issues (e.g., deadlocks, queue exhaustion, connection pool saturation) — and eliminate root causes
* Optimize PostgreSQL for heavy write workloads, contention management, schema design, triggers, and connection scaling
* Design and tune Elasticsearch for search, indexing, and real\-time Arabic relevance at scale
* Make informed trade\-offs between multi\-process and async architectures based on workload characteristics


**Observability \& Reliability**
* Build and maintain observability across a large\-scale system using Grafana, Loki, distributed tracing, and SLOs
* Own production incidents end\-to\-end, tracing failures across queues, search systems, and external integrations
* Lead root cause analysis and implement preventative measures across multi\-service pipelines
* Build internal tooling that improves engineering velocity, automation, deployment gating, and review enforcement
* Turn architectural principles into enforceable standards and guardrails, not just documentation


**Platform Evolution**
* Drive platform decoupling and service isolation across the system
* Contribute to Kubernetes migration and infrastructure modernization
* Standardize and improve CI/CD pipelines across services


**Stack**
 Ruby on Rails
   

  

* Python
* PostgreSQL
* Elasticsearch
* Redis
* RabbitMQ
* Kubernetes
* AWS / GCP
* APISIX
* Grafana \+ Loki


**What We Are Looking For**
* Strong foundation in distributed systems. You understand failure modes before you write the first line
* Hands\-on experience with event\-driven architecture and message queues in production
* Deep comfort with concurrency, backpressure, and fault tolerance
* Track record debugging complex production issues — not just fixing them, preventing them
* Experience with Rails or Python backends at meaningful scale
* You improve systems you weren't asked to touch


**This Role is a Strong Fit If You...**
* Read and understand an existing codebase by week one
* See a broken system and fix it before anyone asks you to
* Have strong opinions about architecture and can back them up with data
* Think in systems: latency, throughput, failure modes, and cost at scale
* Treat documentation, tests, and observability as non\-negotiable defaults and not afterthoughts
* Ship fast and without breaking things. Speed and quality are not a trade\-off for you
* Consistently exceed expectations where meeting the bar is a floor, not a target
* Are hungry for hard challenges and actively seek problems at the edge of your limits
* Feel a sense of urgency that doesn't require external pressure
* Have rebuilt or stabilised something significant and can talk about it concretely


**Why Lucidya**
* Real scale with billions of events and not just toy systems
* Direct impact at CTO and executive level
* Pre\-IPO with clear trajectory and your work has real impact on clients","ai, api, arabic, aws, ci/cd, elasticsearch, google cloud, kubernetes, llm, microservices, postgresql, python, redis, ruby",0,,
P6 EPPM Developer,Assystem,"Riyadh, Riyadh, Saudi Arabia","Assystem is an international company with one mission: accelerate the energy transition around the world.
   

  

 Every day, our 6,500 switchers located in 12 countries (Europe, Middle East, Pacific Asia \& Africa) connect their six thousand billion neurons to tackle the task of the century: switching to low\-carbon energy.
   

  

 We are a collective committed to the actors who are making the energy switch. Sharing our knowledge, expertise and values allows us to innovate and think differently about the energy transition.
   

  

 Drawing on more than 55 years' experience in highly regulated sectors subject to strict security and safety requirements, we provide our customers with engineering and project management services, as well as digital services and solutions to optimize the performance of complex infrastructure projects throughout their life cycle. The Group is currently ranked second in the world for nuclear engineering.
   

  

 To ensure a viable, efficient, and reliable energy future for all
   

  

**Job Description**
 To develop, configure, and support Oracle Primavera P6 EPPM solutions, ensuring efficient project planning, scheduling, and reporting aligned with business and project requirements.
   

  

* Configure and administer Oracle Primavera P6 EPPM
* Develop and customize reports, dashboards, and workflows
* Support integration with other enterprise systems (ERP, Unifier, etc.)
* Manage databases and ensure system performance and reliability
* Collaborate with project teams to gather and implement requirements
* Provide technical support and troubleshooting
* Maintain system documentation and user guides


**Qualifications**
* Bachelor’s Degree in Engineering, IT, or related field
* Minimum 5\+ years of experience in Primavera P6 EPPM development/support
* Strong knowledge of P6 configuration, administration, and integration
* Experience with SQL, APIs, and reporting tools
* Understanding of project controls and EPC environments


**Additional Information**
 We are committed to equal treatment of candidates and promote, as well as foster all forms of diversity within our company. We believe that bringing together people with different backgrounds and perspectives is essential for creating innovative and impactful solutions. Skills, talent, and our people’s ability to dare are the only things that matter !. Bring your unique contributions and help us shape the future.","api, oracle, project management, sql",0,,
